,_id,_score,cluster,entrezgene,name,notfound,symbol,taxid
A4GNT,100621190,55.838356,1,100621190,"alpha-1,4-N-acetylglucosaminyltransferase",,A4GNT,9823.0
ABHD10,100623142,57.735096,1,100623142,abhydrolase domain containing 10,,ABHD10,9823.0
ACADL,396931,54.837685,1,396931,acyl-CoA dehydrogenase long chain,,ACADL,9823.0
ACKR4,100037292,56.332836,1,100037292,atypical chemokine receptor 4,,ACKR4,9823.0
ACTA2,733615,55.36163,1,733615,"actin alpha 2, smooth muscle",,ACTA2,9823.0
ACTB,414396,54.769836,1,414396,actin beta,,ACTB,9823.0
ACTR2,100174962,56.623398,1,100174962,actin related protein 2,,ACTR2,9823.0
ACVR2A,397282,55.264378,1,397282,activin A receptor type 2A,,ACVR2A,9823.0
ACYP1,100155997,56.69739,1,100155997,acylphosphatase 1,,ACYP1,9823.0
ADAM19,100521528,59.79381,1,100521528,ADAM metallopeptidase domain 19,,ADAM19,9823.0
ADAMTS6,100513765,56.78104,1,100513765,ADAM metallopeptidase with thrombospondin type 1 motif 6,,ADAMTS6,9823.0
ADGRG6,100511292,56.017075,1,100511292,adhesion G protein-coupled receptor G6,,ADGRG6,9823.0
ADM,397195,57.714813,1,397195,adrenomedullin,,ADM,9823.0
ADO,100153304,56.718784,1,100153304,2-aminoethanethiol dioxygenase,,ADO,9823.0
AGFG1,100514990,55.094715,1,100514990,ArfGAP with FG repeats 1,,AGFG1,9823.0
AGTR1,100519976,55.036015,1,100519976,angiotensin II receptor type 1,,AGTR1,9823.0
AHR,396654,58.052803,1,396654,aryl hydrocarbon receptor,,AHR,9823.0
AJUBA,100626166,58.93375,1,100626166,ajuba LIM protein,,AJUBA,9823.0
AKIP1,100517841,58.030582,1,100517841,A-kinase interacting protein 1,,AKIP1,9823.0
AKIRIN2,100519991,55.044727,1,100519991,akirin 2,,AKIRIN2,9823.0
ALDH1A1,100517137,54.60804,1,100517137,aldehyde dehydrogenase 1 family member A1,,ALDH1A1,9823.0
AMCF-II,396900,68.857544,1,396900,alveolar macrophage-derived chemotactic factor-II,,AMCF-II,9823.0
AMIGO2,100152349,56.906048,1,100152349,adhesion molecule with Ig like domain 2,,AMIGO2,9823.0
AMOTL2,100523696,55.36274,1,100523696,angiomotin like 2,,AMOTL2,9823.0
ANAPC13,100415776,54.93494,1,100415776,anaphase promoting complex subunit 13,,ANAPC13,9823.0
ANGPT2,396730,54.916412,1,396730,angiopoietin 2,,ANGPT2,9823.0
ANGPTL3,445466,55.022335,1,445466,angiopoietin like 3,,ANGPTL3,9823.0
ANKRD1,396959,57.73755,1,396959,ankyrin repeat domain 1,,ANKRD1,9823.0
ANKRD17,100520501,56.505035,1,100520501,ankyrin repeat domain 17,,ANKRD17,9823.0
ANKRD22,100152630,56.230907,1,100152630,ankyrin repeat domain 22,,ANKRD22,9823.0
ANKRD34A,102165219,55.109314,1,102165219,ankyrin repeat domain 34A,,ANKRD34A,9823.0
ANXA1,396942,56.646492,1,396942,annexin A1,,ANXA1,9823.0
ANXA2,406192,57.010036,1,406192,annexin A2,,ANXA2,9823.0
ANXA5,100521982,55.171295,1,100521982,annexin A5,,ANXA5,9823.0
APLF,100516073,54.699497,1,100516073,aprataxin and PNKP like factor,,APLF,9823.0
APOLD1,110260736,57.897934,1,110260736,apolipoprotein L domain containing 1,,APOLD1,9823.0
ARCN1,100622860,56.42044,1,100622860,archain 1,,ARCN1,9823.0
AREG,397668,54.613422,1,397668,amphiregulin,,AREG,9823.0
ARF4,595108,56.26234,1,595108,ADP ribosylation factor 4,,ARF4,9823.0
ARF6,780425,54.589798,1,780425,ADP ribosylation factor 6,,ARF6,9823.0
ARHGAP18,100525547,55.69287,1,100525547,Rho GTPase activating protein 18,,ARHGAP18,9823.0
ARHGAP42,100519555,58.420216,1,100519555,Rho GTPase activating protein 42,,ARHGAP42,9823.0
ARHGAP5,100520849,54.685333,1,100520849,Rho GTPase activating protein 5,,ARHGAP5,9823.0
